rownames,minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,player,religiousness,expenditure,school,persons,games,f_other,n_other,deny,occupation
187,no,57,female,more,0.0294137,3.9,upper,yes,no,15,19,20,Nicolas Douchez,1,6049.495117,Monte Rio Union Elementary,3,1,9,13,1,5
188,no,57,female,more,0.0294137,4.0,upper,yes,no,7,23,20,Cata Díaz,3,4974.28125,Janesville Union Elementary,3,2,4,6,0,1
189,no,57,female,more,0.0294137,3.6,upper,yes,no,7,22,20,Michael Harriman,2,4432.478027,Magnolia Union Elementary,4,1,7,10,0,1
190,no,57,female,more,0.0294137,3.0,upper,yes,no,14,20,20,René Adler,2,4924.619141,Shaffer Union Elementary,2,6,3,5,0,5
191,no,57,female,more,0.0294137,3.0,upper,yes,no,8,19,20,Florent Malouda,4,4603.659668,Fullerton Elementary,3,16,3,5,0,1
192,no,57,female,more,0.0294137,3.6,upper,yes,no,17,23,20,Lisandro López,4,5973.925293,Cinnabar Elementary,1,3,4,6,0,5
193,no,57,female,more,0.0294137,3.6,upper,yes,no,10,22,20,Papiss Demba Cissé,2,5215.943848,Santa Barbara Elementary,1,1,3,5,1,6
194,no,57,female,more,0.0294137,3.2,upper,yes,no,12,15,20, Busquets,4,4882.236816,Rohnerville Elementary,1,4,7,10,0,5
195,no,52,female,more,0.2394859,3.9,upper,yes,no,27,31,21,Jens Langeneke,2,4145.835938,Pleasant Grove Joint Union Elementary,2,2,3,5,0,7
196,no,52,female,more,0.2394859,3.5,upper,yes,no,20,21,21,Leonardo Bittencourt,4,7542.038086,Mountain Union Elementary,2,2,9,13,0,6
197,no,52,female,more,0.2394859,3.5,upper,yes,no,31,36,21,Julian Korb,5,5247.018066,South Fork Union Elementary,1,1,3,5,0,1
198,no,52,female,single,0.2394859,3.1,upper,yes,no,17,19,21,Mesut Özil,2,5169.814941,Jamul-Dulzura Union Elementary,3,2,7,10,0,5
199,no,52,female,more,0.2394859,4.2,upper,yes,no,23,37,21,Thomas Vermaelen,1,5951.005859,Live Oak Elementary,4,2,7,10,0,3
200,no,62,male,more,-0.7330914,3.6,lower,yes,yes,94,184,23,Bobby Zamora,1,4746.572266,Menifee Union Elementary,2,1,4,6,0,5
201,no,62,male,more,-0.7330914,4.5,upper,yes,yes,46,50,23,Lars Stindl,3,4944.092285,Lakeside Union Elementary,2,1,9,13,0,5
202,no,62,male,more,-0.7330914,3.7,lower,yes,yes,80,157,23,Mario Mandžukić,5,6306.487305,Whisman Elementary,2,5,7,10,0,5
203,no,62,male,more,-0.7330914,3.4,lower,yes,yes,61,164,23,Florian Raspentino,3,4260.306641,McCabe Union Elementary,1,1,4,6,1,1
204,no,64,male,more,-0.1111221,4.5,upper,yes,yes,51,68,24,Brett Holman,4,4718.163086,Lammersville Elementary,2,2,7,10,0,1
205,no,64,male,more,-0.1111221,4.6,upper,yes,yes,22,47,24,Shaun Wright-Phillips,2,4751.299805,Lassen View Union Elementary,4,16,3,5,0,2
206,no,64,male,more,-0.1111221,4.8,upper,yes,yes,10,14,24,Dimitar Berbatov,2,5653.453613,Loleta Union Elementary,3,1,4,6,0,5
207,no,64,male,more,-0.1111221,4.5,upper,yes,yes,11,15,24,Pape Souaré,4,5920.253418,Junction Elementary,4,1,4,6,0,3
208,no,64,male,more,-0.1111221,4.4,upper,yes,yes,15,24,24,James McArthur,3,4825.59082,Rosemead Elementary,4,1,3,5,0,4
209,no,64,male,more,-0.1111221,4.1,upper,yes,yes,21,39,24,Dudu Aouate,5,5532.582031,Grass Valley Elementary,1,1,3,5,0,6
210,no,34,female,more,1.775517,3.9,upper,yes,yes,33,40,25,Rickie Lambert,2,3926.06958,Buena Vista Elementary,1,1,3,5,0,4
211,no,58,male,more,-0.3218485,4.3,upper,yes,yes,71,151,26,James Ward-Prowse,5,5805.636719,Kernville Union Elementary,1,1,3,5,0,4
212,no,58,male,more,-0.3218485,3.5,lower,yes,yes,36,47,26,Sven Bender,4,4899.239746,Galt Joint Union Elementary,1,1,4,6,0,6
213,no,58,male,more,-0.3218485,4.0,upper,yes,yes,73,122,26, Alfaro,3,4884.862305,Southside Elementary,1,9,4,6,0,1
214,no,58,male,more,-0.3218485,4.0,lower,yes,yes,31,45,26,Petr Jiráček,3,5139.9375,Lakeside Union Elementary,2,1,7,10,0,5
215,yes,52,male,more,0.2116939,4.6,upper,no,yes,23,23,27,Jan Polák,2,5249.364746,Nuestro Elementary,4,4,7,10,1,3
216,yes,52,male,more,0.2116939,4.6,upper,no,yes,12,16,27, Barragán,5,5399.070313,Alvina Elementary,2,2,7,10,0,6
217,yes,52,male,more,0.2116939,3.7,upper,no,yes,15,18,27,Stefan Bell,3,4965.290039,Oakley Union Elementary,4,2,7,10,0,1
218,yes,52,male,more,0.2116939,3.5,upper,no,yes,11,16,27,Massimo Luongo,2,6210.323242,Etna Union Elementary,3,1,4,6,0,4
219,yes,52,male,more,0.2116939,3.6,upper,no,yes,12,15,27,Bastian Schweinsteiger,3,4797.503418,Jefferson Elementary,4,1,3,5,0,5
220,yes,52,male,more,0.2116939,3.9,upper,no,yes,18,28,27,Benoît Assou-Ekotto,2,5397.161621,Berryessa Union Elementary,4,1,3,5,0,1
221,no,73,male,more,-0.717645,4.2,upper,yes,yes,10,13,28,Landry Bonnefoi,4,5078.5,Kit Carson Union Elementary,4,1,7,10,0,1
222,no,73,male,more,-0.717645,3.2,upper,yes,yes,16,21,28,Mathieu Coutadeur,3,4733.746582,Sylvan Union Elementary,3,2,7,10,0,4
223,no,73,male,more,-0.717645,4.9,upper,yes,yes,13,17,28,Alexander Esswein,5,4963.060059,Oak View Union Elementary,2,2,7,10,0,4
224,no,70,male,more,-0.7326927,4.0,upper,yes,yes,5,48,29,Shola Ameobi,2,5431.177246,Auburn Union Elementary,1,18,3,5,1,5
225,no,70,male,more,-0.7326927,3.5,upper,yes,yes,34,64,29,Sebastian Prödl,4,5382.088867,North County Joint Union Elementary,2,1,3,5,0,5
226,no,70,male,more,-0.7326927,3.4,upper,yes,yes,24,69,29, Pozuelo,2,5724.441895,Pioneer Union Elementary,2,1,7,10,0,1
227,no,63,male,more,-0.0102077,4.2,upper,yes,no,11,14,31,Axel Bellinghausen,4,4843.427246,Central Elementary,3,1,4,6,1,6
228,no,63,male,more,-0.0102077,3.5,upper,yes,no,10,15,31,Joe Hart,2,5730.349121,Pacheco Union Elementary,1,18,7,10,0,3
229,no,63,male,more,-0.0102077,4.4,upper,yes,no,14,18,31,Andrey Arshavin,2,5635.786133,Chicago Park Elementary,3,1,7,10,1,6
230,no,63,male,more,-0.0102077,3.7,upper,yes,no,12,16,31,Christian Wetklo,4,5671.657227,Brisbane Elementary,2,7,7,10,0,2
231,no,63,male,more,-0.0102077,3.4,upper,yes,no,8,10,31,Marco Estrada,2,7070.633301,Central Union Elementary,1,1,7,10,0,5
232,no,63,male,more,-0.0102077,3.0,upper,yes,no,23,47,31,Chris Gunter,3,5097.343262,Happy Valley Union Elementary,4,1,7,10,0,1
233,no,47,male,more,-0.923957,3.9,upper,yes,yes,10,14,32, Sisi,3,5482.677246,Mark Twain Union Elementary,3,5,9,13,0,6
234,no,47,male,more,-0.923957,2.8,upper,yes,yes,10,12,32,Neven Subotić,4,5642.832031,San Rafael City Elementary,2,2,9,13,0,1
235,no,39,male,more,0.5766805,3.7,lower,yes,yes,154,316,33, Goni,2,5280.023438,Cajon Valley Union Elementary,2,3,4,6,0,1
236,no,39,male,more,0.5766805,4.6,upper,yes,yes,12,15,33,Rio Mavuba,5,5433.339844,Campbell Union Elementary,1,6,7,10,0,1
237,no,39,male,more,0.5766805,4.2,upper,yes,yes,14,15,33,Jérôme Rothen,4,4529.283691,Browns Elementary,2,1,3,5,0,6
238,no,39,male,more,0.5766805,4.4,upper,yes,yes,27,29,33, Brandão,4,6039.98584,Clear Creek Elementary,1,1,3,5,0,5
239,yes,47,female,more,-0.0836015,3.8,upper,yes,yes,8,8,34, Agirretxe,2,6168.229492,Trinidad Union Elementary,3,6,3,5,0,5
240,yes,47,female,single,-0.0836015,4.1,lower,yes,yes,16,16,34,Jamel Saihi,2,5774.970215,Guerneville Elementary,2,4,7,10,0,5
241,yes,47,female,more,-0.0836015,3.7,lower,yes,yes,24,26,34,Sebastian Kehl,1,4806.761719,San Bruno Park Elementary,2,13,4,6,0,3
242,yes,47,female,more,-0.0836015,4.1,upper,yes,yes,7,10,34,Ryan Dickson,4,4840.936035,Antelope Elementary,4,1,3,5,1,5
243,yes,47,female,more,-0.0836015,3.0,lower,yes,yes,25,26,34, De la Bella,2,4954.466309,Centralia Elementary,2,6,3,5,0,6
244,yes,47,female,more,-0.0836015,3.2,lower,yes,yes,24,26,34, Fernando Torres,2,4023.531738,Etiwanda Elementary,3,1,7,10,0,4
245,yes,47,female,more,-0.0836015,2.8,lower,yes,yes,24,26,34,Billy Jones,2,5179.411133,Wiseburn Elementary,3,3,9,13,0,4
246,yes,47,female,single,-0.0836015,4.7,lower,yes,yes,20,21,34,Mathieu Coutadeur,3,4385.229492,Scotia Union Elementary,2,2,4,6,0,4
247,yes,47,female,more,-0.0836015,4.2,lower,yes,yes,12,12,34,Jonny Evans,3,4777.512695,Mountain View Elementary,4,1,7,10,0,6
248,yes,47,female,more,-0.0836015,3.2,lower,yes,yes,25,27,34,Sofian Chahed,4,4862.790527,Pleasant Valley Joint Union Elementary,2,3,3,5,0,5
249,yes,47,female,more,-0.0836015,3.1,lower,yes,yes,26,27,34, Álex López,2,5486.029785,Oak Grove Elementary,3,2,3,5,0,6
250,yes,47,female,more,-0.0836015,4.0,lower,yes,yes,24,25,34,Danny Guthrie,3,5486.382324,Pollock Pines Elementary,2,1,4,6,0,5
251,no,54,male,more,-1.079558,4.2,upper,yes,yes,10,15,35,Karim El-Hany,5,4631.243652,Castaic Union Elementary,1,1,3,5,1,7
252,no,54,male,more,-1.079558,4.3,upper,yes,yes,16,17,35,Peguy Luyindula,3,5189.62793,Bishop Union Elementary,1,1,7,10,0,1
253,yes,44,female,more,1.040902,3.3,upper,yes,yes,35,48,36,Jon Walters,3,4600.606445,Buellton Union Elementary,1,1,3,5,0,5
254,yes,44,female,more,1.040902,4.1,upper,yes,yes,21,21,36,Benoît Cheyrou,2,6735.775391,Chawanakee Jt. Elementary,2,7,9,13,0,5
255,yes,44,female,more,1.040902,3.7,upper,yes,yes,35,39,36,Craig Dawson,4,5475.172852,Yreka Union Elementary,1,2,3,5,0,6
256,yes,47,male,more,-1.052108,3.3,upper,yes,yes,9,14,37,Korey Smith,4,5990.794434,Alexander Valley Union Elementary,4,1,7,10,0,1
257,yes,47,male,more,-1.052108,3.8,upper,yes,yes,21,26,37,Zdravko Kuzmanović,2,7203.246582,Twin Ridges Elementary,3,1,7,10,0,5
258,yes,47,male,more,-1.052108,3.4,upper,yes,yes,13,16,37,Matthew Upson,4,4777.769043,Sundale Union Elementary,4,4,4,6,0,5
259,yes,47,male,more,-1.052108,4.2,upper,yes,yes,13,16,37,Danny Fox,3,4302.834961,Three Rivers Union Elementary,3,3,9,13,1,5
260,yes,47,male,more,-1.052108,3.8,upper,yes,yes,12,13,37,Zdravko Kuzmanović,5,5630.194824,Columbia Union Elementary,1,7,7,10,0,7
261,yes,47,male,more,-1.052108,3.5,upper,yes,yes,14,14,37,Niklas Dams,3,4708.625,Westside Union Elementary,4,3,4,6,0,1
262,yes,47,male,more,-1.052108,3.3,upper,yes,yes,15,17,37,Etienne Didot,2,5629.961426,Ballico-Cressey Elementary,3,15,7,10,0,5
263,no,62,male,more,-0.7277681,4.3,upper,yes,yes,13,15,38,Nikolče Noveski,4,4890.986816,Millbrae Elementary,3,2,3,5,0,6
264,no,62,male,more,-0.7277681,4.1,upper,yes,yes,7,10,38, Samuel,3,4929.393066,Evergreen Elementary,3,5,4,6,0,4
265,no,60,male,more,-0.3953965,4.5,upper,yes,yes,12,16,39, Yannick Djaló,2,4905.221191,Harmony Union Elementary,1,1,4,6,0,1
266,no,60,male,more,-0.3953965,4.5,upper,yes,yes,11,14,39,Fabian Delph,2,5156.856934,Panama Buena Vista Union Elementary,1,4,3,5,0,5
267,no,60,male,more,-0.3953965,4.6,upper,yes,yes,8,12,39,Hogan Ephraim,3,4941.787598,Laguna Salada Union Elementary,4,2,3,5,0,5
268,no,60,male,more,-0.3953965,4.4,upper,yes,yes,24,39,39,Gonzalo Castro,1,5408.781738,Sonora Elementary,3,15,3,5,0,3
269,no,60,male,more,-0.3953965,4.1,upper,yes,yes,15,35,39,James Shea,5,4981.387695,Roseville City Elementary,2,1,3,5,0,6
270,no,60,male,more,-0.3953965,4.5,upper,yes,yes,31,45,39,Laurent Koscielny,4,4877.086426,Gratton Elementary,3,7,4,6,0,1
271,no,60,male,more,-0.3953965,4.3,lower,yes,yes,36,45,39,Rémi Gomis,5,5111.739258,Susanville Elementary,4,1,4,6,1,5
272,no,42,male,more,-0.2377786,4.4,upper,yes,yes,14,14,41, Xavi,4,5201.515625,Bella Vista Elementary,4,16,7,10,0,1
273,no,42,male,more,-0.2377786,4.9,upper,yes,yes,13,14,41,Pablo Zabaleta,2,4138.305664,Columbine Elementary,2,6,7,10,0,5
274,no,42,male,more,-0.2377786,4.7,upper,yes,yes,12,12,41,Mapou Yanga-Mbiwa,3,5743.597168,Hughes-Elizabeth Lakes Union Elementary,2,1,7,10,0,5
275,no,42,male,more,-0.2377786,4.6,upper,yes,yes,13,15,41,Wojciech Szczęsny,4,5702.705078,Mountain View Elementary,3,2,7,10,0,1
276,no,35,male,more,0.274908,4.8,lower,yes,yes,21,23,42,Sam Johnstone,4,4802.152832,Sulphur Springs Union Elementary,2,1,4,6,0,4
277,no,35,male,more,0.274908,4.2,upper,yes,yes,49,57,42, Xavi,3,5442.143066,Forestville Union Elementary,4,1,3,5,0,5
278,no,35,male,more,0.274908,4.6,lower,yes,yes,44,50,42,Michael Keane,2,4522.375488,Rosedale Union Elementary,2,1,3,5,1,4
279,no,39,female,more,1.970023,4.7,upper,yes,no,18,23,43, Iniesta,4,4965.808105,Columbia Elementary,1,2,7,10,0,3
280,no,39,female,more,1.970023,4.6,upper,yes,no,20,23,43,Jaroslav Plašil,1,5358.326172,Colfax Elementary,4,3,7,10,1,5
281,no,39,female,more,1.970023,3.6,lower,yes,no,27,28,43, Cala,2,5784.625,Mt. Shasta Union Elementary,1,1,7,10,0,5
282,no,49,male,more,1.05095,3.9,upper,yes,yes,27,42,44,Antonio Rüdiger,5,5072.70459,Piner-Olivet Union Elementary,3,1,3,5,0,6
283,no,49,male,more,1.05095,4.0,upper,yes,yes,49,57,44,David Meyler,1,5556.041016,Bass Lake Joint Elementary,4,1,3,5,0,5
284,no,61,male,more,0.2418185,4.4,upper,yes,yes,31,38,45,Sven Schipplock,4,5190.310059,Cutten Elementary,4,1,7,10,0,3
285,no,61,male,more,0.2418185,4.5,lower,yes,yes,19,22,45,Alex Oxlade-Chamberlain,5,5211.485352,Placerville Union Elementary,1,5,4,6,1,1
286,no,61,male,more,0.2418185,4.4,upper,yes,yes,27,43,45,Alexander Tettey,5,5284.164063,Wright Elementary,2,1,7,10,0,1
287,no,33,male,more,1.349395,3.0,upper,yes,yes,12,13,46,Gabriel Torje,2,5331.920898,Evergreen Union Elementary,2,2,7,10,0,6
288,no,33,male,more,1.349395,3.7,upper,yes,yes,13,15,46, José Enrique,1,5599.60791,Old Adobe Union Elementary,4,9,7,10,0,3
289,no,56,female,more,-0.2577254,3.6,upper,yes,yes,16,20,48,Anthony Martial,4,4881.899414,Wilmar Union Elementary,3,1,7,10,0,1
290,no,56,female,more,-0.2577254,3.1,upper,yes,yes,17,23,48,Federico Macheda,2,4700.432129,Ackerman Elementary,4,1,7,10,0,5
291,no,50,female,single,-0.6562689,3.8,lower,yes,no,24,32,49,Karim Haggui,2,5650.0,Santa Cruz City Elementary,1,1,9,13,0,5
292,no,50,female,single,-0.6562689,4.7,lower,yes,no,14,21,49,Aaron Hughes,5,5318.240723,Arcata Elementary,4,2,9,13,0,3
293,no,50,female,more,-0.6562689,3.8,upper,yes,no,23,24,49,William Kvist,3,4709.054199,Alta Loma Elementary,3,1,4,6,0,4
294,no,50,female,more,-0.6562689,3.8,upper,yes,no,19,21,49, Arana,4,5143.19043,Foresthill Union Elementary,4,1,7,10,0,5
295,no,50,female,more,-0.6562689,2.8,upper,yes,no,18,28,49, Puyol,4,5133.009766,Mother Lode Union Elementary,4,1,3,5,0,1
296,no,50,female,more,-0.6562689,4.0,upper,yes,no,23,29,49,Jonny Evans,5,5081.455566,Ocean View Elementary,1,2,3,5,0,5
297,no,52,male,more,-0.6563948,4.0,upper,yes,yes,81,89,50, José Enrique,3,4016.41626,Lake Elementary,2,11,3,5,0,5
298,no,52,male,more,-0.6563948,3.5,upper,yes,yes,74,82,50,Ludovic Giuly,2,5374.050293,San Mateo-Foster City Elementary,1,1,7,10,0,5
299,no,52,male,more,-0.6563948,3.4,upper,yes,yes,102,122,50, Thiago Motta,1,5427.548828,Goleta Union Elementary,2,3,4,6,0,4
300,no,52,male,more,-0.6563948,4.0,upper,yes,yes,94,131,50, Bosingwa,2,5179.644531,Helendale Elementary,2,2,3,5,0,5
301,no,52,male,more,-0.6563948,3.5,upper,yes,yes,89,114,50,Dan Gosling,2,5400.0,Petaluma City Elementary,2,2,3,5,1,1
302,no,52,male,more,-0.6563948,3.8,upper,yes,yes,133,149,50,Tino Costa,2,5726.146484,Sunnyvale Elementary,2,1,7,10,0,4
303,no,52,male,more,-0.6563948,4.7,upper,yes,yes,22,23,50,Benjamin Uphoff,3,5003.870117,College Elementary,4,1,9,13,0,6
304,no,52,male,more,-0.6563948,3.9,upper,yes,yes,78,98,50,Ashkan Dejagah,4,4969.51123,La Mesa-Spring Valley,2,1,4,6,0,6
305,no,52,male,more,-0.6563948,4.5,upper,yes,yes,22,27,50,Emanuel Pogatetz,3,4747.295898,Huntington Beach City Elementary,3,1,7,10,1,6
306,no,52,male,more,-0.6563948,4.2,upper,yes,yes,27,30,50, Lafita,4,4543.305176,Solvang Elementary,1,5,3,5,0,2
307,no,52,male,more,-0.6563948,4.7,upper,yes,yes,27,30,50,Guy Demel,3,5229.591309,Soquel Elementary,1,1,3,5,1,3
308,no,52,male,more,-0.6563948,4.0,upper,yes,yes,60,69,50,Mesut Özil,4,4507.353027,Capay Joint Union Elementary,1,10,4,6,0,1
309,no,33,female,more,0.7244775,4.8,upper,yes,yes,10,10,51,Ricardo Faty,5,5302.62793,Gravenstein Union Elementary,4,2,3,5,0,6
310,no,33,female,more,0.7244775,4.8,upper,yes,yes,10,11,51,Timmy Simons,4,5545.610352,Pleasant Valley Elementary,1,2,7,10,0,5
311,no,33,female,more,0.7244775,4.4,upper,yes,yes,10,14,51,Simon Rolfes,2,4615.908691,Pioneer Union Elementary,2,2,3,5,0,5
312,no,33,female,more,0.7244775,4.7,upper,yes,yes,7,11,51,Carl Medjani,2,5397.689453,Santee Elementary,2,2,9,13,0,5
313,no,33,female,more,0.7244775,4.5,upper,yes,yes,14,14,51, Santi Cazorla,4,5118.373047,Johnstonville Elementary,2,13,3,5,0,6
314,no,57,male,more,0.6318343,4.2,upper,yes,yes,36,41,52, Miguel Torres,2,5008.070801,Pleasant Valley Elementary,4,2,7,10,0,6
315,no,57,male,more,0.6318343,4.4,upper,yes,yes,72,88,52,Szabolcs Huszti,5,4906.030273,Curtis Creek Elementary,4,6,7,10,0,1
316,no,57,male,more,0.6318343,4.1,upper,yes,yes,63,78,52,Micah Richards,5,6870.346191,Fort Jones Union Elementary,1,1,4,6,0,6
317,no,38,female,more,1.070944,4.2,lower,yes,yes,109,157,53,Phil Jagielka,5,5301.716309,Mark West Union Elementary,1,3,9,13,0,4
318,no,38,female,more,1.070944,4.8,upper,yes,yes,54,68,53,Steeve Yago,1,5182.365723,Alpine Union Elementary,3,2,7,10,0,5
319,no,38,female,more,1.070944,4.4,upper,yes,yes,51,67,53,Loris Néry,2,4999.46875,Sebastopol Union Elementary,1,1,4,6,0,5
320,no,38,female,more,1.070944,4.7,upper,yes,yes,61,80,53,Sven Ulreich,3,6732.066406,Freshwater Elementary,2,2,7,10,0,6
321,no,38,female,more,1.070944,4.2,lower,yes,yes,102,137,53,Robert Green,4,4612.989746,Norris Elementary,3,3,3,5,0,2
322,no,38,female,more,1.070944,4.5,upper,yes,yes,58,69,53,Brad Guzan,1,5478.845703,Springville Union Elementary,4,2,4,6,0,6
323,no,34,female,more,-1.450494,3.4,lower,yes,yes,46,80,54, Labaka,4,5666.713867,Moreland Elementary,4,8,4,6,1,5
324,no,34,female,more,-1.450494,3.7,lower,yes,yes,53,90,54,Andrey Arshavin,2,4742.51416,Maple Elementary,3,3,3,5,0,7
325,no,34,female,more,-1.450494,3.6,upper,yes,yes,19,34,54,Anthony Martial,1,4907.392578,Kings River-Hardwick Union Elementary,1,1,3,5,0,1
326,no,34,female,more,-1.450494,3.9,upper,yes,yes,41,73,54,Radamel Falcao,3,5700.402344,Julian Union Elementary,2,2,3,5,0,4
327,no,34,female,more,-1.450494,3.9,upper,yes,yes,25,44,54, Diego Costa,5,5191.834473,Cardiff Elementary,3,8,3,5,0,4
328,no,34,male,more,1.15588,3.7,upper,yes,yes,16,20,55,Sylvio Rodelin,2,4451.256836,Saucelito Elementary,1,6,4,6,1,1
329,no,34,male,more,1.15588,3.0,lower,yes,yes,20,35,55, Nani,4,5627.527832,Bonsall Union Elementary,2,10,4,6,0,3
330,no,32,male,more,-0.3260148,3.6,lower,yes,yes,69,168,56,Kevin Pannewitz,4,4922.939941,Cypress Elementary,4,2,7,10,0,1
331,no,32,male,more,-0.3260148,3.6,lower,yes,yes,98,247,56, Kaká,3,4969.380859,Lowell Joint Elementary,4,7,7,10,1,5
332,no,32,male,more,-0.3260148,4.3,upper,yes,yes,20,22,56,Timm Klose,3,4829.717285,Newhall Elementary,2,3,7,10,0,1
333,no,32,male,more,-0.3260148,4.5,upper,yes,yes,72,103,56,Ángelo Henríquez,1,6716.692871,Lagunitas Elementary,3,1,7,10,1,5
334,no,42,female,more,0.8846435,3.9,upper,yes,yes,51,82,57,Renato Civelli,4,5205.941895,Cambrian Elementary,1,1,4,6,0,1
335,no,43,female,more,-0.5583452,4.6,upper,yes,yes,18,35,58,Sebastian Freis,3,4357.826172,Richfield Elementary,1,5,3,5,1,4
336,no,43,female,more,-0.5583452,4.1,lower,yes,yes,26,34,58,Artjoms Rudņevs,4,5195.918945,Fieldbrook Elementary,3,3,3,5,0,4
337,no,43,female,more,-0.5583452,4.2,lower,yes,yes,28,37,58,Kieran Richardson,4,6002.071777,Dehesa Elementary,4,1,7,10,0,6
338,no,43,female,more,-0.5583452,4.1,lower,yes,yes,13,14,58,Mathieu Bodmer,4,5090.587891,Cottonwood Union Elementary,1,1,7,10,0,6
339,no,43,female,more,-0.5583452,3.1,lower,yes,yes,174,266,58,Maximilian Beister,3,5112.390137,Fruitvale Elementary,4,1,7,10,0,1
340,no,43,female,more,-0.5583452,3.6,lower,yes,yes,171,254,58,Radek Černý,4,5287.35498,Union Elementary,3,2,3,5,0,1
341,no,43,female,more,-0.5583452,4.2,upper,yes,yes,10,13,58,Stephen Warnock,1,4889.47998,Fountain Valley Elementary,3,10,3,5,0,6
342,no,43,female,more,-0.5583452,3.0,lower,yes,yes,166,282,58,Nelson Valdez,1,5118.130371,Gold Oak Union Elementary,2,1,7,10,1,5
343,no,43,female,more,-0.5583452,4.2,upper,yes,yes,17,17,58, Roberto Lago,2,5119.123047,Buckeye Union Elementary,3,10,4,6,0,5
344,no,35,male,more,-0.3415543,3.4,lower,no,yes,22,42,59, Valerón,4,4792.211426,Rocklin Unified,2,3,7,10,0,6
345,no,62,female,more,-0.5040575,3.1,upper,yes,yes,9,16,60, Doni,2,5450.103516,Gold Trail Union Elementary,4,1,7,10,0,1
346,no,62,female,more,-0.5040575,2.7,upper,yes,yes,14,19,60,Ibrahima Traoré,1,5210.724609,Hydesville Elementary,3,1,7,10,0,5
347,no,52,female,more,0.773524,3.9,upper,yes,yes,70,98,63, Simão,4,4715.445801,Saugus Union Elementary,4,3,7,10,0,1
348,no,52,female,more,1.063938,3.9,upper,yes,yes,49,65,64,Ivan Klasnić,1,4632.068359,Loomis Union Elementary,4,1,7,10,0,3
349,no,52,female,more,1.063938,3.6,upper,yes,yes,32,63,64,Kevin Vogt,3,5028.561523,Placer Hills Union Elementary,2,2,9,13,0,5
350,no,52,female,more,-1.090389,3.7,upper,yes,no,35,43,65,Jay Rodriguez,5,5695.466797,Dunham Elementary,4,9,9,13,0,3
351,no,52,female,more,-1.090389,3.6,upper,yes,no,59,80,65,Paul Verhaegh,4,4504.294922,San Carlos Elementary,1,12,4,6,0,6
352,no,52,female,more,-1.090389,4.4,upper,yes,no,45,52,65, Bosingwa,2,5156.437012,Ready Springs Union Elementary,2,1,7,10,0,5
353,no,52,female,more,-1.090389,4.3,upper,yes,no,34,48,65,Lasse Sobiech,4,5433.51416,Coarsegold Union Elementary,4,2,3,5,0,5
354,no,52,female,more,-1.090389,4.1,upper,yes,no,50,66,65, Jonas,5,5254.631836,Cayucos Elementary,3,2,3,5,1,4
355,no,52,female,more,-1.090389,3.7,upper,yes,no,67,100,65, João Victor,1,4593.196777,Richmond Elementary,2,2,3,5,0,6
356,no,64,male,more,-1.069162,3.6,upper,yes,yes,8,16,66,Aly Cissokho,5,4320.678711,Clay Joint Elementary,4,7,7,10,0,1
357,no,64,male,more,-1.069162,2.8,upper,yes,yes,18,22,66,Nicky Shorey,4,4920.777344,Waugh Elementary,1,5,4,6,0,5
358,no,64,male,more,-1.069162,4.0,upper,yes,yes,5,11,66,Gareth Bale,4,6905.869141,Two Rock Union Elementary,3,1,3,5,0,1
359,no,64,male,more,-1.069162,4.4,upper,yes,yes,5,10,66,Mitchell Langerak,1,5729.904297,Belmont-Redwood Shores Elementary,4,3,3,5,0,6
360,no,64,male,more,-1.069162,3.6,upper,yes,yes,16,16,66,Kevin Trapp,3,4825.202148,Rescue Union Elementary,4,3,7,10,0,5
361,no,50,male,more,1.415695,3.7,upper,yes,yes,9,10,67,Albert Rafetraniaina,2,5388.17041,Alta-Dutch Flat Union Elementary,1,1,9,13,0,1
362,no,60,male,more,-1.422919,2.9,upper,yes,yes,7,10,68,Samed Yesil,2,5133.827148,San Pasqual Union Elementary,2,1,4,6,0,6
363,no,60,male,more,-1.422919,2.6,upper,yes,yes,10,16,68,Assani Lukimya,3,5346.15625,Latrobe Elementary,1,1,7,10,0,6
364,no,43,male,single,-0.4899626,4.8,lower,yes,yes,15,28,70, Pedro,2,4789.309082,Union Hill Elementary,4,11,3,5,0,5
365,no,43,male,single,-0.4899626,4.9,lower,yes,yes,18,30,70,Ludovic Obraniak,4,5329.782227,Twin Hills Union Elementary,3,10,3,5,0,4
366,no,43,male,more,-0.4899626,4.3,lower,yes,yes,11,15,70,Martin Amedick,4,5371.172852,Pacific Union Elementary,2,4,4,6,0,5
367,no,43,male,more,-0.4899626,4.4,lower,yes,yes,10,13,70,Hajime Hosogai,1,5771.383789,Douglas City Elementary,2,6,3,5,0,6
368,no,43,male,single,-0.4899626,4.3,lower,yes,yes,17,18,70,Ibrahima Traoré,2,4993.634766,Pleasant Ridge Union Elementary,4,1,7,10,0,3
369,no,43,male,single,-0.4899626,4.7,lower,yes,yes,22,26,70, Naldo,1,4854.038086,Newcastle Elementary,3,22,3,5,0,5
370,no,43,male,single,-0.4899626,4.3,lower,yes,yes,18,30,70,Ron Vlaar,4,4392.679688,Mesa Union Elementary,3,14,9,13,0,5
371,no,43,male,more,-0.4899626,4.6,lower,yes,yes,14,14,70,Kyle Naughton,2,5884.432129,Weaverville Elementary,2,1,3,5,0,5
