education,age,gender,occupation,children,religiousness,rating,yearsmarried,rownames,affairs
1904,4.515585026904706,female,27.0,7.0,yes,2,12,1,2
1905,-0.5381829055354885,female,27.0,7.0,yes,3,12,1,4
1908,-0.30383487471538984,female,42.0,15.0,yes,2,14,1,4
1916,-2.0700101714506767,female,42.0,15.0,yes,4,14,5,4
1918,-0.7006188370889119,male,27.0,7.0,yes,4,14,3,3
1920,2.866238932686803,male,27.0,7.0,yes,2,20,6,2
1930,0.8321551663717308,female,42.0,15.0,yes,3,12,3,3
1940,2.539180789572597,male,27.0,4.0,yes,3,16,3,5
1947,2.6488056662082657,female,27.0,7.0,yes,3,14,1,4
1949,5.808823744266201,female,22.0,1.5,no,2,14,4,5
1951,0.3260794883819842,female,27.0,4.0,yes,4,14,1,4
1952,-3.4118345528794953,female,22.0,4.0,no,4,14,5,5
1960,4.97348492193421,female,22.0,1.5,no,2,16,4,5
9001,0.3633177641791008,male,47.0,15.0,no,4,14,5,4
9012,5.129617111925122,male,37.0,10.0,yes,2,18,6,2
9023,2.7195224623585674,male,37.0,15.0,yes,3,17,5,4
9029,1.0236759231698305,female,27.0,4.0,yes,2,16,1,4
6,2.605476422118284,male,27.0,1.5,no,3,18,4,4
12,7.886468013052632,female,27.0,4.0,yes,3,17,1,5
43,8.301659974837223,male,37.0,15.0,yes,5,18,6,2
53,1.68458788947517,female,32.0,10.0,yes,3,17,5,2
67,1.983896971086606,male,22.0,0.125,no,4,16,5,5
79,5.003207505894966,female,22.0,1.5,yes,2,14,1,5
122,-1.3314022550105182,male,37.0,15.0,yes,4,14,5,2
126,2.553710831960096,female,22.0,1.5,no,2,14,3,4
133,1.3706625597058801,male,37.0,15.0,yes,2,18,6,4
138,2.490552115088777,female,32.0,15.0,yes,4,12,3,2
154,-1.2908869255128939,female,37.0,15.0,yes,4,14,4,2
159,-3.783327021015014,female,42.0,15.0,yes,3,17,1,4
174,-5.376671863431367,female,42.0,15.0,yes,5,9,4,1
176,-2.2270048411298933,male,37.0,10.0,yes,2,20,6,2
181,-0.055892510815751306,female,32.0,15.0,yes,3,14,1,2
182,0.48954377685037176,male,27.0,4.0,no,1,18,6,5
186,7.841044358177667,male,37.0,10.0,yes,2,18,7,3
189,5.10127445694544,female,27.0,4.0,no,3,17,5,5
204,-1.7151572303549996,male,42.0,15.0,yes,4,16,5,5
215,2.6019581216024266,female,47.0,15.0,yes,5,14,4,5
232,0.11417199056795124,female,27.0,4.0,yes,3,18,5,4
233,0.5186401439203557,female,27.0,7.0,yes,5,14,1,4
252,2.0667424225126894,male,27.0,1.5,yes,3,17,5,4
253,3.4967023744059613,female,27.0,7.0,yes,4,14,6,2
274,0.3377067217697318,female,42.0,15.0,yes,4,16,5,4
275,4.962374447696927,female,27.0,10.0,yes,4,12,7,3
287,-2.307935497522881,male,27.0,1.5,no,2,18,5,2
288,1.4768004488153195,male,32.0,4.0,no,4,20,6,4
325,10.01787110387347,female,27.0,7.0,yes,3,14,1,3
328,2.191180374149755,female,32.0,10.0,yes,4,14,1,4
344,6.179799314019487,male,27.0,4.0,yes,2,18,7,2
353,1.7575584453256274,female,17.5,0.75,no,5,14,4,5
354,3.370155210840786,female,32.0,10.0,yes,4,18,1,5
367,1.268748720764866,female,32.0,7.0,yes,2,17,6,4
369,0.8942413562982302,male,37.0,15.0,yes,2,20,6,4
390,-1.1132766635571811,female,37.0,10.0,no,1,20,5,3
392,2.874185348681989,female,32.0,10.0,yes,2,16,5,5
423,-1.3507701382263084,male,52.0,15.0,yes,2,20,6,4
432,3.6496838777718015,female,42.0,15.0,yes,1,12,1,3
436,5.033026023867237,male,52.0,15.0,yes,2,20,6,3
483,2.663998810126953,male,37.0,15.0,yes,3,18,6,5
513,0.512427505314344,female,22.0,4.0,no,3,12,3,4
516,2.9521829075483406,male,27.0,7.0,yes,1,18,6,2
518,0.4385166665647038,male,27.0,4.0,yes,3,18,5,5
520,4.539481556644666,male,47.0,15.0,yes,4,17,6,5
526,-4.580429965902335,female,42.0,15.0,yes,4,12,1,1
528,0.34974084385833426,male,27.0,4.0,no,3,14,3,4
553,-5.105833792238787,female,32.0,7.0,yes,4,18,4,5
576,-3.471831906973516,male,32.0,0.417,yes,3,12,3,4
611,5.951213363949982,male,47.0,15.0,yes,5,16,5,4
625,4.4064474394673585,male,37.0,15.0,yes,2,20,5,4
635,-0.915508801120803,male,22.0,4.0,yes,2,17,6,4
646,-3.496362892419467,male,27.0,4.0,no,2,14,4,5
657,-8.315216380470172,female,52.0,15.0,yes,5,16,1,3
659,-0.33546100019797764,male,27.0,4.0,no,3,14,3,3
666,9.433624219682425,female,27.0,10.0,yes,4,16,1,4
679,2.8892906841914323,male,32.0,7.0,yes,3,14,7,4
729,-0.38845025693003454,male,32.0,7.0,yes,2,18,4,1
755,2.9888168642045962,male,22.0,1.5,no,1,14,3,2
758,-3.689030945645254,male,22.0,4.0,yes,3,18,6,4
770,0.47592539260560884,male,42.0,15.0,yes,4,20,6,4
786,1.7837857861671018,female,57.0,15.0,yes,1,18,5,4
797,1.1721180235498778,female,32.0,4.0,yes,3,18,5,2
811,4.062413443062145,male,27.0,4.0,yes,1,16,4,4
834,2.5918616906415632,male,32.0,7.0,yes,4,16,1,4
858,3.658717527990973,male,57.0,15.0,yes,1,17,4,4
885,-0.8129766150802347,female,42.0,15.0,yes,4,14,5,2
893,4.415117357088323,male,37.0,10.0,yes,1,18,5,3
927,6.824902866480965,male,42.0,15.0,yes,3,17,6,1
928,-1.741717825937581,female,52.0,15.0,yes,3,14,4,4
933,-1.4699488848635398,female,27.0,7.0,yes,3,17,5,3
951,5.858668284580384,male,32.0,7.0,yes,2,12,4,2
968,0.8252347083456859,male,22.0,4.0,no,4,14,2,5
972,6.08291925004314,male,27.0,7.0,yes,3,18,6,4
975,-0.00269628122765031,female,37.0,15.0,yes,1,18,5,5
977,6.251754785867224,female,32.0,15.0,yes,3,17,1,3
981,1.889285677644915,female,27.0,7.0,no,2,17,5,5
986,2.307032172777162,female,32.0,7.0,yes,3,17,5,3
1002,6.613236503376131,male,32.0,1.5,yes,2,14,2,4
1007,0.26350691645806434,female,42.0,15.0,yes,4,14,1,2
1011,-1.646043083341072,male,32.0,10.0,yes,3,14,5,4
1035,-0.022566278010951235,male,37.0,4.0,yes,1,20,6,3
1050,2.9468050395686887,female,27.0,4.0,yes,2,16,5,3
1056,-3.704854174628091,female,42.0,15.0,yes,3,14,4,3
1057,3.5570186911620003,male,27.0,10.0,yes,5,20,6,5
1075,-0.3198900113078327,male,37.0,10.0,yes,2,20,6,2
1080,5.239111349501809,female,27.0,7.0,yes,1,14,3,3
1125,-6.4356043413792765,female,27.0,7.0,yes,4,12,1,2
1131,-1.13662356507648,male,32.0,10.0,yes,2,14,4,4
1138,-4.10271277125541,female,17.5,0.75,yes,2,12,1,3
1150,-1.2673555751738421,female,32.0,15.0,yes,3,18,5,4
1163,2.272216652344094,female,22.0,7.0,no,4,14,4,3
1169,0.8651736787833879,male,32.0,7.0,yes,4,20,6,5
1198,0.620771264730403,male,27.0,4.0,yes,2,18,6,2
1204,0.9312315446095242,female,22.0,1.5,yes,5,14,5,3
1218,2.1262769433991378,female,32.0,15.0,no,3,17,5,1
1230,-1.8682402715408406,female,42.0,15.0,yes,2,12,1,2
1236,3.785691858512082,male,42.0,15.0,yes,3,20,5,4
1247,3.640061941672375,male,32.0,10.0,no,2,18,4,2
1259,2.724996560077676,female,32.0,15.0,yes,3,9,1,1
1294,3.290247836286685,male,57.0,15.0,yes,5,20,4,5
1353,2.432904167494081,male,47.0,15.0,yes,4,20,6,4
1370,8.163533245812264,female,42.0,15.0,yes,2,17,6,3
1427,1.1688433720468536,male,37.0,15.0,yes,3,17,6,3
1445,0.44375678940323593,male,37.0,15.0,yes,5,17,5,2
1460,-1.027729272284942,male,27.0,10.0,yes,2,20,6,4
1480,-1.9464435288709723,male,37.0,15.0,yes,2,16,5,4
1505,-2.645887366503987,female,32.0,15.0,yes,1,14,5,2
1543,-1.4735799614723493,male,32.0,10.0,yes,3,17,6,3
1548,1.2229434220795092,male,37.0,15.0,yes,4,18,5,1
1550,2.5577476422748893,female,27.0,1.5,no,2,17,5,5
1561,1.624471670636975,female,47.0,15.0,yes,2,17,5,2
1564,-1.0673067882711615,male,37.0,15.0,yes,2,17,5,4
1573,4.422926122869191,female,27.0,4.0,no,2,14,5,5
1575,3.8930200071241554,female,27.0,10.0,yes,4,14,1,5
1599,0.9297040537635591,female,22.0,4.0,yes,3,16,1,3
1622,-0.6961127532692242,male,52.0,7.0,no,4,16,5,5
1629,3.2635319371853933,female,27.0,4.0,yes,1,16,3,5
1664,2.0754700586858226,female,37.0,15.0,yes,2,17,6,4
1669,-3.317138285214177,female,27.0,4.0,no,1,17,3,1
1674,1.231843069208606,female,17.5,0.75,yes,2,12,3,5
1682,2.31958005412956,female,32.0,15.0,yes,5,18,5,4
1685,-1.509498166223323,female,22.0,4.0,no,1,16,3,5
1697,2.081632959926412,male,32.0,4.0,yes,4,18,6,4
1716,-3.339205831241212,female,22.0,1.5,yes,3,18,5,2
1730,5.859992502608584,female,42.0,15.0,yes,2,17,5,4
1731,5.569165191670697,male,32.0,7.0,yes,4,16,4,4
1732,0.6236066086111888,male,37.0,15.0,no,3,14,6,2
1743,2.6538567518652707,male,42.0,15.0,yes,3,16,6,3
1751,-6.487225366700191,male,27.0,4.0,yes,1,18,5,4
1757,-2.3554291681174284,male,37.0,15.0,yes,4,20,7,3
1763,0.487607918460644,male,37.0,15.0,yes,3,20,6,4
1766,-2.0778566914947114,male,22.0,1.5,no,2,12,3,3
1772,3.8105663408944146,male,32.0,4.0,yes,3,20,6,2
1776,8.039020544662225,male,32.0,15.0,yes,5,20,6,5
1782,-2.422229642281927,female,52.0,15.0,yes,1,18,5,5
1784,-1.3043827709027327,male,47.0,15.0,no,1,18,6,5
1791,2.231947515243764,female,32.0,15.0,yes,4,16,4,4
1831,6.766165295239519,female,32.0,15.0,yes,3,14,3,2
1840,-2.5730538192200894,female,27.0,7.0,yes,4,16,1,2
1844,2.276732918122767,male,42.0,15.0,yes,3,18,6,2
1856,7.458930045276741,female,42.0,15.0,yes,2,14,3,2
1876,-3.988311473904783,male,27.0,7.0,yes,2,17,5,4
1929,-2.766512906646137,male,32.0,10.0,yes,4,14,4,3
1935,0.05969428111755959,male,47.0,15.0,yes,3,16,4,2
1938,-0.2599589354677285,male,22.0,1.5,yes,1,12,2,5
1941,4.134250576203218,female,32.0,10.0,yes,2,18,5,4
1954,2.2524202055721503,male,32.0,10.0,yes,2,17,6,5
1959,-4.394389772565756,male,22.0,7.0,yes,3,18,6,2
9010,3.154705795437488,female,32.0,15.0,yes,3,14,1,5
