tooth_class,specimen,num_amtl,sockets,age,stdev_age,prob_male,genus,pop,ndam,eval,gender,language,female,category,m_focal,name,majority_first
Premolar,BM1908.8.9.41,0,4,24.0,3.63654073,1.0,Papio,East Africa,58.0,3.6,female,English,0.0,1,2,Barbara,0
Anterior,BM1908.8.9.42,0,12,,4.51398683,0.0,Papio,East Africa,15.0,3.6,male,,1.0,1,4,Florence,1
Posterior,BM1908.8.9.42,0,12,37.0,4.51398683,0.0,Papio,East Africa,19321.0,3.2,male,Standard_Hindi,0.0,3,2,Carol,1
Premolar,BM1908.8.9.42,0,8,22.0,4.51398683,0.0,Papio,East Africa,3230.0,3.9,female,English,0.0,3,3,Edna,1
Anterior,BM1909.6.11,0,12,45.0,2.48359763,1.0,Papio,East Africa,24260.0,3.5,male,English,1.0,4,2,Hazel,0
Posterior,BM1909.6.11,0,12,27.0,2.48359763,1.0,Papio,East Africa,2030.0,3.5,male,English,0.0,3,3,Connie,1
Premolar,BM1909.6.11,0,8,33.0,2.48359763,1.0,Papio,East Africa,14730.0,3.1,female,English,0.0,1,2,Diane,0
Anterior,BM1910.10.3.1,0,12,49.0,2.29036872,1.0,Papio,East Africa,6200.0,4.2,male,English,0.0,3,2,Ione,0
Posterior,BM1910.10.3.1,0,9,18.0,2.29036872,1.0,Papio,East Africa,1540.0,3.6,female,English,0.0,2,3,Flossy,1
Premolar,BM1910.10.3.1,0,7,22.0,2.29036872,1.0,Papio,East Africa,,4.5,male,English,0.0,4,3,Audrey,0
Anterior,BM1911.12.1.1,0,12,23.0,3.39774848,1.0,Papio,East Africa,540.0,3.7,male,English,0.0,3,2,Helene,0
Posterior,BM1911.12.1.1,0,12,31.0,3.39774848,1.0,Papio,East Africa,430.0,3.4,female,English,0.0,1,2,Debra,1
Premolar,BM1911.12.1.1,0,8,33.0,3.39774848,1.0,Papio,East Africa,510.0,4.5,male,English,0.0,3,3,Gracie,1
Anterior,BM1913.10.18.2,0,12,33.0,3.63654073,1.0,Papio,East Africa,53270.0,4.6,female,German,0.0,4,2,Donna,1
Posterior,BM1913.10.18.2,0,12,24.0,3.63654073,1.0,Papio,East Africa,35.0,4.8,female,English,0.0,1,2,Ethel,1
Premolar,BM1913.10.18.2,1,8,40.0,3.63654073,1.0,Papio,East Africa,15850.0,4.5,female,German,0.0,4,3,Carla,1
Anterior,BM1913.10.18.3,0,6,25.0,4.59386268,1.0,Papio,East Africa,300.0,4.4,female,English,1.0,1,3,Cindy,0
Posterior,BM1913.10.18.3,0,6,21.0,4.59386268,1.0,Papio,East Africa,6450.0,4.1,female,English,1.0,2,2,Cleo,0
Premolar,BM1913.10.18.3,0,4,20.0,4.59386268,1.0,Papio,East Africa,16260.0,3.9,female,English,0.0,2,3,Dora,1
Anterior,BM1914.3.8.2,0,12,39.0,5.07338879,0.0,Papio,East Africa,2770.0,4.3,female,English,0.0,3,2,Hilda,1
Posterior,BM1914.3.8.2,0,12,25.0,5.07338879,0.0,Papio,East Africa,800.0,3.5,male,English,1.0,2,3,Isbell,0
Premolar,BM1914.3.8.2,0,8,40.0,5.07338879,0.0,Papio,East Africa,20000.0,4.0,male,English,0.0,3,2,Betsy,0
Anterior,BM1918.11.8.1,0,6,25.0,4.27445115,1.0,Papio,East Africa,730.0,4.0,male,English,0.0,2,3,Alma,0
Posterior,BM1918.11.8.1,0,6,60.0,4.27445115,1.0,Papio,East Africa,99.0,4.6,female,English,0.0,1,2,Inez,1
Premolar,BM1918.11.8.1,0,4,,4.27445115,1.0,Papio,East Africa,5060.0,4.6,male,,0.0,3,2,Beulah,1
Anterior,BM1922.12.19.6,0,12,44.0,3.39774848,1.0,Papio,Central Africa,800.0,3.7,male,English,0.0,2,4,Gladys,1
Posterior,BM1922.12.19.6,0,12,21.0,3.39774848,1.0,Papio,Central Africa,23040.0,3.5,male,English,0.0,5,2,Camille,1
Premolar,BM1922.12.19.6,0,8,33.0,3.39774848,1.0,Papio,Central Africa,6870.0,3.6,female,English,0.0,3,4,Celia,1
Anterior,BM1923.3.4.3,0,12,26.0,5.39328887,0.0,Papio,East Africa,300.0,3.9,male,English,1.0,2,2,Edith,0
Posterior,BM1923.3.4.3,0,12,26.0,5.39328887,0.0,Papio,East Africa,500.0,4.2,female,English,0.0,1,2,Fern,1
Premolar,BM1923.3.4.3,0,8,,5.39328887,0.0,Papio,East Africa,200.0,3.2,male,,1.0,1,2,Ginger,1
Anterior,BM1924.2.25.1,0,12,,3.87558812,1.0,Papio,East Africa,20430.0,4.9,female,,0.0,1,4,Agnes,0
Posterior,BM1924.2.25.1,0,12,19.0,3.87558812,1.0,Papio,East Africa,1180.0,4.0,male,English,0.0,3,3,Carmen,1
Premolar,BM1924.2.25.1,0,8,22.0,3.87558812,1.0,Papio,East Africa,6190.0,3.5,female,English,,3,2,Eloise,1
Anterior,BM1924.8.6.15,0,12,27.0,3.63654073,1.0,Papio,West Africa,570.0,3.4,female,Romanian,1.0,1,4,Belle,0
Posterior,BM1924.8.6.15,0,12,,3.63654073,1.0,Papio,West Africa,66.0,4.2,female,,1.0,1,2,Babe,1
Premolar,BM1924.8.6.15,0,8,47.0,3.63654073,1.0,Papio,West Africa,70.0,3.5,male,Romanian,0.0,1,4,Bob,0
Anterior,BM1924.8.6.16,0,12,32.0,4.59386268,0.0,Papio,West Africa,2700.0,4.4,male,English,0.0,2,3,David,1
Posterior,BM1924.8.6.16,0,12,57.0,4.59386268,0.0,Papio,West Africa,12770.0,3.7,male,French,0.0,3,2,Frederic,0
Premolar,BM1924.8.6.16,0,8,20.0,4.59386268,0.0,Papio,West Africa,2130.0,3.4,female,,0.0,3,3,Allen,0
Anterior,BM1925.5.12.1,0,12,19.0,4.1148462,1.0,Papio,West Africa,10400.0,3.0,female,English,0.0,3,3,Alicia,1
Posterior,BM1925.5.12.1,0,12,21.0,4.1148462,1.0,Papio,West Africa,410.0,3.9,female,English,0.0,2,2,Diana,1
Premolar,BM1925.5.12.1,0,8,16.0,4.1148462,1.0,Papio,West Africa,130.0,2.8,male,English,0.0,1,2,Bob,0
Anterior,BM1927.8.14.1,0,6,33.0,2.87155209,0.0,Papio,East Africa,160.0,3.7,male,Standard_Hindi,1.0,1,2,Danny,0
Posterior,BM1927.8.14.1,0,6,19.0,2.87155209,0.0,Papio,East Africa,4180.0,4.6,male,Chinese,0.0,3,2,Elena,1
Premolar,BM1927.8.14.1,0,4,21.0,2.87155209,0.0,Papio,East Africa,3020.0,4.2,female,English,0.0,3,3,Gloria,0
Anterior,BM1930.12.1.2,0,12,44.0,3.79588028,0.0,Papio,East Africa,4730.0,4.4,female,English,0.0,1,3,Juan,0
Posterior,BM1930.12.1.2,0,12,15.0,3.79588028,0.0,Papio,East Africa,1310.0,3.8,male,English,0.0,2,3,Kate,1
Premolar,BM1930.12.1.2,0,8,55.0,3.79588028,0.0,Papio,East Africa,6.0,4.1,female,English,0.0,1,2,Bonnie,1
Anterior,BM1931.4.1.1,0,12,51.0,3.63654073,1.0,Papio,East Africa,58.0,3.7,male,English,0.0,1,2,Charley,0
Posterior,BM1931.4.1.1,0,12,14.0,3.63654073,1.0,Papio,East Africa,1.0,4.1,female,English,0.0,1,2,Floyd,1
Premolar,BM1931.4.1.1,0,8,43.0,3.63654073,1.0,Papio,East Africa,4.0,3.0,male,English,0.0,1,3,Florence,0
Anterior,BM1932.7.6.1,0,12,,2.38690817,1.0,Papio,East Africa,290.0,3.2,male,,0.0,1,4,Chantal,0
Posterior,BM1932.7.6.1,0,12,13.0,2.38690817,1.0,Papio,East Africa,20020.0,2.8,female,English,0.0,4,3,Hugo,0
Premolar,BM1932.7.6.1,0,8,15.0,2.38690817,1.0,Papio,East Africa,230.0,4.7,male,English,0.0,1,2,Jerry,0
Anterior,BM1934.11.20.1,0,12,43.0,3.4773143,1.0,Papio,East Africa,3620.0,4.2,female,English,1.0,2,4,Bob,1
Posterior,BM1934.11.20.1,0,12,16.0,3.4773143,1.0,Papio,East Africa,66730.0,3.2,female,English,0.0,5,4,Andrew,0
Premolar,BM1934.11.20.1,0,8,37.0,3.4773143,1.0,Papio,East Africa,96.0,3.1,female,English,0.0,3,4,Emily,0
Anterior,BM1935.10.22.24,0,6,18.0,3.95531929,0.0,Papio,West Africa,1650.0,4.0,male,Portuguese,0.0,2,2,Erin,1
Posterior,BM1935.10.22.24,0,6,,3.95531929,0.0,Papio,West Africa,7550.0,4.2,female,,0.0,3,4,Opal,1
Premolar,BM1935.10.22.24,0,4,26.0,3.95531929,0.0,Papio,West Africa,700.0,4.3,male,English,0.0,2,2,Bertha,0
Anterior,BM1935.2.14.1,0,12,19.0,3.63654073,1.0,Papio,East Africa,8260.0,3.3,male,English,0.0,3,3,Fran,1
Posterior,BM1935.2.14.1,0,12,23.0,3.63654073,1.0,Papio,East Africa,200.0,4.1,female,German,0.0,1,2,Danny,1
Premolar,BM1935.2.14.1,0,8,41.0,3.63654073,1.0,Papio,East Africa,1650.0,3.7,male,English,1.0,2,3,Bonnie,0
Anterior,BM1936.12.28.1,0,12,18.0,3.4773143,1.0,Papio,East Africa,160.0,3.3,female,Dutch,0.0,1,2,Earl,1
Posterior,BM1936.12.28.1,0,12,24.0,3.4773143,1.0,Papio,East Africa,3870.0,3.8,female,English,0.0,2,2,Georges,0
Premolar,BM1936.12.28.1,0,8,21.0,3.4773143,1.0,Papio,East Africa,94.0,3.4,male,English,0.0,3,3,Bret,1
Anterior,BM1936.12.28.2,0,12,39.0,3.4773143,1.0,Papio,East Africa,8130.0,4.2,male,English,0.0,2,3,Floyd,1
Posterior,BM1936.12.28.2,0,12,28.0,3.4773143,1.0,Papio,East Africa,1430.0,3.8,female,English,0.0,1,2,Irene,0
Premolar,BM1936.12.28.2,0,8,22.0,3.4773143,1.0,Papio,East Africa,1260.0,3.5,female,English,1.0,1,2,Lili,0
Anterior,BM1938.7.17.1,1,12,27.0,6.16831052,1.0,Papio,Central Africa,250.0,3.3,male,,0.0,1,3,Claudette,0
Posterior,BM1938.7.17.1,0,12,23.0,6.16831052,1.0,Papio,Central Africa,4980.0,4.3,male,English,0.0,2,2,Isabel,0
Premolar,BM1938.7.17.1,0,8,17.0,6.16831052,1.0,Papio,Central Africa,5.0,4.1,female,English,0.0,1,2,Alex,1
Anterior,BM1939.1005,0,6,35.0,3.88831042,1.0,Pongo,Borneo,20510.0,4.5,female,Spanish,1.0,4,3,Charley,0
Posterior,BM1939.1005,0,6,35.0,3.88831042,1.0,Pongo,Borneo,12620.0,4.5,male,English,0.0,2,3,Frances,1
Premolar,BM1939.1005,0,4,18.0,3.88831042,1.0,Pongo,Borneo,170.0,4.6,female,Chinese,0.0,1,2,Gaston,1
Anterior,BM1939.1006,0,6,26.0,2.86641,1.0,Pongo,Borneo,18590.0,4.4,female,English,0.0,3,3,Ivan,1
Posterior,BM1939.1006,0,6,,2.86641,1.0,Pongo,Borneo,10210.0,4.1,male,,0.0,3,2,Jeanne,0
Premolar,BM1939.1006,0,4,21.0,2.86641,1.0,Pongo,Borneo,350.0,4.5,female,Dutch,0.0,1,3,Cindy,0
Anterior,BM1939.1007,0,12,17.0,2.35865298,0.0,Pongo,Borneo,2650.0,4.3,male,Chinese,1.0,3,2,Dennis,0
Posterior,BM1939.1007,0,12,39.0,2.35865298,0.0,Pongo,Borneo,,4.4,male,English,1.0,3,3,Katrina,1
Premolar,BM1939.1007,0,8,,2.35865298,0.0,Pongo,Borneo,91.0,4.9,female,,0.0,1,2,Ophelia,0
Anterior,BM1939.1008,0,12,27.0,2.86641,0.0,Pongo,Borneo,10690.0,4.7,male,English,0.0,3,2,Rita,0
Posterior,BM1939.1008,0,12,21.0,2.86641,0.0,Pongo,Borneo,25960.0,4.6,female,English,0.0,3,4,Wilma,0
Premolar,BM1939.1008,0,8,18.0,2.86641,0.0,Pongo,Borneo,51.0,4.8,female,Turkish,0.0,1,2,Humberto,0
Anterior,BM1939.1021,0,12,27.0,3.87558812,1.0,Papio,West Africa,1110.0,4.2,male,English,0.0,1,4,Dolly,0
Posterior,BM1939.1021,0,12,24.0,3.87558812,1.0,Papio,West Africa,4360.0,4.6,female,English,0.0,2,2,Gustav,1
Premolar,BM1939.1021,0,8,19.0,3.87558812,1.0,Papio,West Africa,20370.0,4.7,male,English,0.0,2,2,Ike,1
Anterior,BM1962.25,0,12,22.0,3.71619727,0.0,Papio,East Africa,7110.0,4.6,male,Dutch,0.0,1,2,Irene,0
Posterior,BM1962.25,0,12,40.0,3.71619727,0.0,Papio,East Africa,24000.0,3.6,male,English,0.0,1,4,Isaac,1
Premolar,BM1962.25,0,8,,3.71619727,0.0,Papio,East Africa,75000.0,3.9,female,,0.0,2,3,Sandy,1
Anterior,BM1964.2174,0,12,25.0,3.63654073,0.0,Papio,East Africa,1590.0,4.0,female,English,0.0,3,2,Easy,0
Posterior,BM1964.2174,0,12,38.0,3.63654073,0.0,Papio,East Africa,5350.0,4.4,female,English,0.0,3,4,King,1
Premolar,BM1964.2174,0,8,31.0,3.63654073,0.0,Papio,East Africa,150.0,4.5,female,,0.0,1,2,Able,1
Anterior,BM1971.2353,0,6,16.0,4.27445115,1.0,Papio,West Africa,58.0,4.4,male,German,0.0,1,4,Barbara,0
Posterior,BM1971.2353,0,6,34.0,4.27445115,1.0,Papio,West Africa,15.0,3.0,male,English,0.0,1,3,Florence,1
Premolar,BM1971.2353,0,4,20.0,4.27445115,1.0,Papio,West Africa,19321.0,3.7,male,English,0.0,3,2,Carol,0
Anterior,BM1971.2354,0,7,49.0,3.95531929,1.0,Papio,West Africa,3230.0,3.6,female,English,0.0,3,3,Edna,0
Posterior,BM1971.2354,0,6,44.0,3.95531929,1.0,Papio,West Africa,24260.0,3.1,female,English,0.0,4,3,Hazel,1
Premolar,BM1971.2354,0,4,27.0,3.95531929,1.0,Papio,West Africa,2030.0,3.8,female,English,0.0,3,2,Connie,1
Anterior,BM1976.1408,0,12,47.0,4.65756455,0.0,Pongo,Borneo,14730.0,4.7,male,English,0.0,1,2,Diane,0
Posterior,BM1976.1408,0,13,28.0,4.65756455,0.0,Pongo,Borneo,6200.0,3.8,male,English,0.0,3,2,Ione,1
Premolar,BM1976.1408,0,8,23.0,4.65756455,0.0,Pongo,Borneo,1540.0,3.8,female,English,0.0,2,2,Flossy,1
Anterior,BM1976.1409,0,12,25.0,3.80295048,0.0,Pongo,Borneo,,2.8,female,Indonesian,0.0,4,3,Audrey,0
Posterior,BM1976.1409,0,12,19.0,3.80295048,0.0,Pongo,Borneo,540.0,4.0,male,English,0.0,3,3,Helene,1
Premolar,BM1976.1409,0,8,21.0,3.80295048,0.0,Pongo,Borneo,430.0,4.0,female,English,0.0,1,3,Debra,1
Anterior,BM1976.1415,0,12,22.0,3.20634803,0.0,Pongo,Borneo,510.0,3.5,female,English,0.0,3,2,Gracie,1
Posterior,BM1976.1415,0,12,24.0,3.20634803,0.0,Pongo,Borneo,53270.0,3.4,male,,0.0,4,2,Donna,1
Premolar,BM1976.1415,0,8,27.0,3.20634803,0.0,Pongo,Borneo,35.0,4.0,male,English,0.0,1,2,Ethel,0
Anterior,BM1976.1416,0,12,19.0,2.95130863,0.0,Pongo,Borneo,15850.0,3.5,female,English,0.0,4,3,Carla,1
Posterior,BM1976.1416,0,11,32.0,2.95130863,0.0,Pongo,Borneo,300.0,3.8,male,English,0.0,1,4,Cindy,1
Premolar,BM1976.1416,0,8,25.0,2.95130863,0.0,Pongo,Borneo,6450.0,4.7,male,English,0.0,2,3,Cleo,0
Anterior,BM1976.1417,0,6,24.0,2.86641,0.0,Pongo,Borneo,16260.0,3.9,male,English,0.0,2,2,Dora,1
Posterior,BM1976.1417,0,7,18.0,2.86641,0.0,Pongo,Borneo,2770.0,4.5,female,Portuguese,0.0,3,4,Hilda,1
Premolar,BM1976.1417,0,3,,2.86641,0.0,Pongo,Borneo,800.0,4.2,female,Spanish,0.0,2,4,Isbell,0
Anterior,BM1976.1418,0,12,27.0,2.86641,0.0,Pongo,Borneo,20000.0,4.7,male,English,0.0,3,4,Betsy,1
Posterior,BM1976.1418,0,12,20.0,2.86641,0.0,Pongo,Borneo,730.0,4.0,female,English,0.0,2,2,Alma,0
Premolar,BM1976.1418,0,8,49.0,2.86641,0.0,Pongo,Borneo,99.0,4.8,male,English,0.0,1,4,Inez,1
Anterior,BM1976.1419,0,12,49.0,2.86641,0.0,Pongo,Borneo,5060.0,4.8,male,English,0.0,3,2,Beulah,1
Posterior,BM1976.1419,0,12,49.0,2.86641,0.0,Pongo,Borneo,800.0,4.4,female,English,0.0,2,3,Gladys,1
Premolar,BM1976.1419,0,8,24.0,2.86641,0.0,Pongo,Borneo,23040.0,4.7,female,English,0.0,5,2,Camille,0
Anterior,BM1976.1420,0,10,22.0,2.78157736,0.0,Pongo,Borneo,6870.0,4.5,male,Swedish,1.0,3,3,Celia,0
Posterior,BM1976.1420,0,12,19.0,2.78157736,0.0,Pongo,Borneo,300.0,4.2,male,German,1.0,2,2,Edith,1
Premolar,BM1976.1420,0,8,24.0,2.78157736,0.0,Pongo,Borneo,500.0,4.4,female,English,1.0,1,2,Fern,0
Anterior,BM1976.1421,0,12,49.0,2.69681693,0.0,Pongo,Borneo,200.0,4.1,male,English,0.0,1,3,Ginger,0
Posterior,BM1976.1421,0,12,24.0,2.69681693,0.0,Pongo,Borneo,20430.0,4.2,female,English,0.0,1,3,Agnes,0
Premolar,BM1976.1421,0,8,28.0,2.69681693,0.0,Pongo,Borneo,1180.0,4.8,male,English,0.0,3,2,Carmen,1
Anterior,BM1976.1422,0,12,31.0,3.03626772,0.0,Pongo,Borneo,6190.0,4.4,female,English,0.0,3,2,Eloise,0
Posterior,BM1976.1422,0,12,58.0,3.03626772,0.0,Pongo,Borneo,570.0,4.7,male,English,0.0,1,3,Belle,1
Premolar,BM1976.1422,0,8,,3.03626772,0.0,Pongo,Borneo,66.0,4.2,female,,0.0,1,2,Babe,0
Anterior,BM1976.1423,0,12,39.0,2.86641,0.0,Pongo,Borneo,70.0,4.5,female,English,0.0,1,2,Bob,1
Posterior,BM1976.1423,0,12,22.0,2.86641,0.0,Pongo,Borneo,2700.0,3.4,male,English,0.0,2,3,David,0
Premolar,BM1976.1423,0,8,16.0,2.86641,0.0,Pongo,Borneo,12770.0,3.7,female,English,0.0,3,3,Frederic,0
Anterior,BM1976.1424,0,12,39.0,3.71761878,1.0,Pongo,Borneo,2130.0,3.6,female,English,1.0,3,2,Allen,1
Posterior,BM1976.1424,0,12,28.0,3.71761878,1.0,Pongo,Borneo,10400.0,3.9,male,English,0.0,3,3,Alicia,0
Premolar,BM1976.1424,0,8,20.0,3.71761878,1.0,Pongo,Borneo,410.0,3.9,male,English,1.0,2,2,Diana,0
Anterior,BM1976.1425,0,12,20.0,2.95130863,1.0,Pongo,Borneo,130.0,3.7,female,English,0.0,1,3,Bob,1
Posterior,BM1976.1425,0,13,22.0,2.95130863,1.0,Pongo,Borneo,160.0,3.0,female,Korean,0.0,1,2,Danny,0
Premolar,BM1976.1425,0,8,21.0,2.95130863,1.0,Pongo,Borneo,4180.0,3.6,male,Chinese,0.0,3,3,Elena,1
Anterior,BM1976.1426,0,12,22.0,3.12128232,1.0,Pongo,Borneo,3020.0,3.6,male,English,0.0,3,2,Gloria,1
Posterior,BM1976.1426,0,12,30.0,3.12128232,1.0,Pongo,Borneo,4730.0,4.3,female,English,1.0,1,2,Juan,0
Premolar,BM1976.1426,0,8,25.0,3.12128232,1.0,Pongo,Borneo,1310.0,4.5,female,Russian,0.0,2,4,Kate,0
Anterior,BM1976.1427,0,12,28.0,3.97369678,0.0,Pongo,Borneo,6.0,3.9,female,English,1.0,1,2,Bonnie,0
Posterior,BM1976.1427,0,12,31.0,3.97369678,0.0,Pongo,Borneo,58.0,4.6,male,English,0.0,1,4,Charley,1
Premolar,BM1976.1427,0,8,50.0,3.97369678,0.0,Pongo,Borneo,1.0,4.1,female,English,1.0,1,2,Floyd,1
Anterior,BM1976.1428,0,12,20.0,3.37661729,1.0,Pongo,Borneo,4.0,4.2,female,Chinese,1.0,1,2,Florence,1
Posterior,BM1976.1428,0,12,22.0,3.37661729,1.0,Pongo,Borneo,290.0,4.1,female,Swedish,0.0,1,2,Chantal,1
Premolar,BM1976.1428,0,8,29.0,3.37661729,1.0,Pongo,Borneo,20020.0,3.1,female,Other,0.0,4,4,Hugo,0
Anterior,BM1976.1429,0,12,33.0,2.35865298,0.5,Pongo,Borneo,230.0,3.6,female,German,0.0,1,3,Jerry,0
Posterior,BM1976.1429,0,12,39.0,2.35865298,0.5,Pongo,Borneo,3620.0,4.2,male,English,1.0,2,2,Bob,0
Premolar,BM1976.1429,0,8,28.0,2.35865298,0.5,Pongo,Borneo,66730.0,3.0,female,English,0.0,5,4,Andrew,1
Anterior,BM1976.1430,0,12,39.0,2.61213574,0.0,Pongo,Borneo,96.0,4.2,male,English,0.0,3,2,Emily,0
Posterior,BM1976.1430,0,12,22.0,2.61213574,0.0,Pongo,Borneo,1650.0,3.4,female,English,0.0,2,4,Erin,0
Premolar,BM1976.1430,0,8,39.0,2.61213574,0.0,Pongo,Borneo,7550.0,3.1,male,English,0.0,3,3,Opal,0
Anterior,BM1976.1431,0,12,30.0,3.29146087,1.0,Pongo,Borneo,700.0,2.7,male,English,0.0,2,2,Bertha,0
Posterior,BM1976.1431,0,12,22.0,3.29146087,1.0,Pongo,Borneo,8260.0,3.9,male,Dutch,0.0,3,3,Fran,0
Premolar,BM1976.1431,0,8,21.0,3.29146087,1.0,Pongo,Borneo,200.0,3.9,male,Dutch,0.0,1,3,Danny,0
Anterior,BM1976.1434,0,12,19.0,2.95130863,1.0,Pongo,Borneo,1650.0,3.6,female,English,0.0,2,2,Bonnie,0
Posterior,BM1976.1434,0,12,18.0,2.95130863,1.0,Pongo,Borneo,160.0,3.7,male,Other,1.0,1,2,Earl,1
Premolar,BM1976.1434,0,8,,2.95130863,1.0,Pongo,Borneo,3870.0,3.6,female,,0.0,2,2,Georges,1
Anterior,BM1976.1435,0,12,,2.10624751,1.0,Pongo,Borneo,94.0,4.4,female,Spanish,0.0,3,2,Bret,1
Posterior,BM1976.1435,0,12,16.0,2.10624751,1.0,Pongo,Borneo,8130.0,4.3,male,English,0.0,2,3,Floyd,1
Premolar,BM1976.1435,0,8,27.0,2.10624751,1.0,Pongo,Borneo,1430.0,4.1,female,English,0.0,1,3,Irene,1
Anterior,BM1976.1436,0,12,28.0,2.69681693,1.0,Pongo,Borneo,1260.0,3.7,female,English,0.0,1,3,Lili,1
Posterior,BM1976.1436,0,12,22.0,2.69681693,1.0,Pongo,Borneo,250.0,3.6,female,Other,0.0,1,2,Claudette,0
Premolar,BM1976.1436,0,8,44.0,2.69681693,1.0,Pongo,Borneo,4980.0,2.8,female,English,0.0,2,2,Isabel,1
Anterior,BM1976.1437,0,6,,2.86641,1.0,Pongo,Borneo,5.0,4.0,male,,0.0,1,2,Alex,0
Posterior,BM1976.1437,0,6,28.0,2.86641,1.0,Pongo,Borneo,20510.0,4.4,male,German,0.0,4,3,Charley,1
Premolar,BM1976.1437,0,4,18.0,2.86641,1.0,Pongo,Borneo,12620.0,3.6,male,Turkish,0.0,2,4,Frances,0
Anterior,BM1976.1438,0,6,21.0,2.02242151,1.0,Pongo,Borneo,170.0,3.7,male,English,0.0,1,3,Gaston,0
Posterior,BM1976.1438,0,6,27.0,2.02242151,1.0,Pongo,Borneo,18590.0,2.9,female,,0.0,3,2,Ivan,0
Premolar,BM1976.1438,0,4,33.0,2.02242151,1.0,Pongo,Borneo,10210.0,2.6,female,German,1.0,3,4,Jeanne,1
Anterior,BM1976.1439,0,12,16.0,1.93878354,1.0,Pongo,Borneo,350.0,4.8,female,English,0.0,1,4,Cindy,1
Posterior,BM1976.1439,0,12,39.0,1.93878354,1.0,Pongo,Borneo,2650.0,4.9,male,English,0.0,3,4,Dennis,0
Premolar,BM1976.1439,0,8,17.0,1.93878354,1.0,Pongo,Borneo,,4.3,male,English,0.0,3,2,Katrina,1
Anterior,BM1976.1440,0,12,,3.20634803,1.0,Pongo,Borneo,91.0,4.4,female,,0.0,1,4,Ophelia,1
Posterior,BM1976.1440,0,12,41.0,3.20634803,1.0,Pongo,Borneo,10690.0,4.3,female,English,1.0,3,2,Rita,0
Premolar,BM1976.1440,0,8,27.0,3.20634803,1.0,Pongo,Borneo,25960.0,4.7,female,English,0.0,3,3,Wilma,0
Anterior,BM1976.1442,0,12,21.0,2.69681693,1.0,Pongo,Borneo,51.0,4.3,female,English,0.0,1,2,Humberto,1
Posterior,BM1976.1442,0,12,25.0,2.69681693,1.0,Pongo,Borneo,1110.0,4.6,female,English,0.0,1,3,Dolly,1
Premolar,BM1976.1442,0,8,52.0,2.69681693,1.0,Pongo,Borneo,4360.0,4.9,male,Portuguese,0.0,2,2,Gustav,1
Anterior,BM1976.1443,0,12,48.0,3.03626772,1.0,Pongo,Borneo,20370.0,4.8,male,English,1.0,2,2,Ike,0
Posterior,BM1976.1443,0,14,39.0,3.03626772,1.0,Pongo,Borneo,7110.0,4.7,female,English,0.0,1,3,Irene,1
Premolar,BM1976.1443,0,8,45.0,3.03626772,1.0,Pongo,Borneo,24000.0,4.8,male,English,0.0,1,3,Isaac,0
Anterior,BM50a,0,12,19.0,2.29036872,1.0,Papio,East Africa,75000.0,4.9,female,English,0.0,2,2,Sandy,1
Posterior,BM50a,0,12,,2.29036872,1.0,Papio,East Africa,1590.0,4.8,female,,0.0,3,2,Easy,1
Premolar,BM50a,0,8,21.0,2.29036872,1.0,Papio,East Africa,5350.0,4.8,female,English,0.0,3,3,King,0
Anterior,BRK125458,0,6,,3.72712188,0.25,Homo sapiens,Native Californian,150.0,5.0,female,,0.0,1,2,Able,0
Posterior,BRK125458,1,12,,3.72712188,0.25,Homo sapiens,Native Californian,58.0,4.5,female,,0.0,1,2,Barbara,0
Premolar,BRK125458,0,6,52.0,3.72712188,0.25,Homo sapiens,Native Californian,15.0,3.8,female,English,1.0,1,3,Florence,0
Anterior,BRK125462,1,12,17.0,5.71046472,0.25,Homo sapiens,Native Californian,19321.0,3.8,male,Chinese,0.0,3,3,Carol,1
Posterior,BRK125462,7,12,72.0,5.71046472,0.25,Homo sapiens,Native Californian,3230.0,3.8,male,English,1.0,3,2,Edna,1
Premolar,BRK125462,0,8,17.0,5.71046472,0.25,Homo sapiens,Native Californian,24260.0,4.0,male,English,0.0,4,3,Hazel,0
Anterior,BRK125598,0,11,19.0,3.70258313,0.75,Homo sapiens,Native Californian,2030.0,4.2,female,English,0.0,3,2,Connie,1
Posterior,BRK125598,0,9,40.0,3.70258313,0.75,Homo sapiens,Native Californian,14730.0,4.5,female,English,1.0,1,3,Diane,0
Premolar,BRK125598,0,5,27.0,3.70258313,0.75,Homo sapiens,Native Californian,6200.0,4.5,female,English,1.0,3,2,Ione,1
Anterior,BRK125610,0,12,45.0,2.9625106,0.5,Homo sapiens,Native Californian,1540.0,4.6,female,English,0.0,2,3,Flossy,0
Posterior,BRK125610,1,11,21.0,2.9625106,0.5,Homo sapiens,Native Californian,,4.7,female,English,0.0,4,2,Audrey,1
Premolar,BRK125610,0,8,34.0,2.9625106,0.5,Homo sapiens,Native Californian,540.0,4.1,female,Spanish,1.0,3,2,Helene,0
Anterior,BRK125660,0,12,34.0,12.6,0.75,Homo sapiens,Native Californian,430.0,3.6,female,English,0.0,1,4,Debra,1
Posterior,BRK125660,4,11,25.0,12.6,0.75,Homo sapiens,Native Californian,510.0,4.0,male,English,0.0,3,2,Gracie,1
Premolar,BRK125660,1,8,47.0,12.6,0.75,Homo sapiens,Native Californian,53270.0,3.4,female,English,0.0,4,4,Donna,1
Anterior,BRK125661,0,12,30.0,4.25426601,0.75,Homo sapiens,Native Californian,35.0,2.8,male,English,1.0,1,2,Ethel,0
